"cell","n_QL","n_GSK","n_combo","QL_mean","QL_sd","GSK_mean","GSK_sd","combo_mean","combo_sd","bliss","combo_minus_bliss","ci_lo","ci_hi","p_vs_QL","p_vs_GSK","CV_QL","CV_combo","p_vs_QL_holm","p_vs_GSK_holm"
"BT20",3,4,4,33.38,9.34796234481077,36.565,4.1230288219544,19.4975,5.96092484435092,12.205397,7.292103,1.6100925,13.7184736,0.104027169333331,0.00447564705149736,28.0046804817578,30.5727649408946,0.227134814970339,0.0134269411544921
"CAL120",3,3,3,80.55,9.32754522905142,84.64,10.9934116633555,64.0833333333333,6.9963871629101,68.17752,-4.09418666666667,-17.2603093333333,8.07482588888888,0.0757116049901131,0.062693701289183,11.5798202719447,10.9176392659195,0.227134814970339,0.062693701289183
"DU4475",3,4,4,40.6166666666667,22.5811787410076,89.475,2.0672122935651,37.2825,16.010074692726,36.3417625,0.940737499999994,-19.8379453645833,23.2998655,0.839699459653354,0.00678551688235319,55.5958442536092,42.9425995915672,0.839699459653354,0.0135710337647064
