"pathway","NES","padj","size","input","leadingEdge"
"Negative Regulation Of Cell Differentiation (GO:0045596)",-1.40659680270433,0.466234078346551,17,"TNBC signature","NFKBIA,SOX4,BAMBI,ID2,SMAD3,SUZ12"
"Negative Regulation Of Cell Growth (GO:0030308)",1.09473971155946,0.751521859435528,13,"TNBC signature","CDKN2A,CCDC85B"
"Negative Regulation Of Cell Migration (GO:0030336)",-0.984678873831399,0.791371887888732,14,"TNBC signature","HMOX1,TRIB1,FOXO3,TPM1"
"Negative Regulation Of Cell Motility (GO:2000146)",0.630631045813765,0.982160526442192,12,"TNBC signature","HDAC2,CLIC4,PIN1"
"Negative Regulation Of Cell Population Proliferation (GO:0008285)",0.838294229529617,0.899778181084896,28,"TNBC signature","APOE,CDKN2A,CDK6,ITGB1BP1,APP,ATF5"
"Negative Regulation Of Cellular Process (GO:0048523)",-0.861471799311436,0.899778181084896,40,"TNBC signature","SOX4,ADAM10,CHMP4A,ERBB3,HSPA1B,TFAP2A,CRK,SMAD3,DNAJB2,GMNN,SUZ12"
"Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433)",-1.02646949778,0.771159491193738,12,"TNBC signature","NFKBIA,BHLHE40,ID2,TRIB1"
"Negative Regulation Of DNA-templated Transcription (GO:0045892)",-1.18514060296875,0.581380867128512,65,"TNBC signature","EDN1,GADD45A,SOX4,FHL2,ARID5B,BHLHE40,NRIP1,ID2,NFATC3,NFIL3,MUC1,TFAP2A,FOXO3,SMAD3,STAT3,GMNN"
"Negative Regulation Of Gene Expression (GO:0010629)",1.11647254971792,0.704704081367894,23,"TNBC signature","GAPDH,APOE"
"Negative Regulation Of Growth (GO:0045926)",1.09473971155946,0.751521859435528,13,"TNBC signature","CDKN2A,CCDC85B"
"Negative Regulation Of Intracellular Signal Transduction (GO:1902532)",0.718644480628975,0.94141154642118,17,"TNBC signature","DDIT4,STAT1"
"Negative Regulation Of MAPK Cascade (GO:0043409)",1.15190331642968,0.704704081367894,13,"TNBC signature","APOE,RGS2,ITGB1BP1"
"Negative Regulation Of Macromolecule Metabolic Process (GO:0010605)",-0.991323186361349,0.780022468809744,15,"TNBC signature","EDN1,ID2,TIPARP,ADAM10,SMAD3,STAT3"
"Negative Regulation Of Multicellular Organismal Process (GO:0051241)",1.52685972772086,0.466234078346551,12,"TNBC signature","HDAC2,PARP1,RGS2,GRN"
"Negative Regulation Of Neuron Death (GO:1901215)",0.785989015370408,0.899778181084896,10,"TNBC signature","APOE,GRN"
"Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)",0.912575574630596,0.878079149279849,35,"TNBC signature","CDKN2A,HDAC2,CCDC85B,PARP1,HSPA8,ATF5,SMARCA4,SHC1"
"Negative Regulation Of Programmed Cell Death (GO:0043069)",-1.43151641614222,0.466234078346551,39,"TNBC signature","IER3,HSPB1,FHL2,UFM1,ERBB3,CD44,HSPA1B,TJP1,TFAP2A,SOCS2,BCL2"
"Negative Regulation Of Protein Binding (GO:0032091)",0.515519313711126,0.982160526442192,10,"TNBC signature","ITGB1BP1,PIN1"
"Negative Regulation Of Protein Kinase Activity (GO:0006469)",-1.21496466009335,0.631025854879066,14,"TNBC signature","GADD45A,HSPB1,TRIB1"
"Negative Regulation Of Protein Phosphorylation (GO:0001933)",-0.684061251360266,0.976476630713919,17,"TNBC signature","HSPB1,TRIB1,CALM2,CDKN1A,TERF2IP,SPRED2"
"Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901)",1.47373794355228,0.466234078346551,10,"TNBC signature","APOE,CDKN2A,RGS2"
"Negative Regulation Of Response To External Stimulus (GO:0032102)",1.28349288484365,0.577490658053075,10,"TNBC signature","APOE,PARP1"
"Negative Regulation Of Signal Transduction (GO:0009968)",-0.77471759422824,0.899778181084896,19,"TNBC signature","ERBB3,TRIB1,BCL2,PTPN12,LRPAP1,TLE1,GRB7,TSPAN6,GRB10,CSNK2A2,EPN2"
"Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)",-1.50526865796736,0.41282407209287,46,"TNBC signature","EDN1,GADD45A,SOX4,FHL2,ARID5B,BHLHE40,NRIP1,ID2,NFIL3,TFAP2A,FOXO3,SMAD3,STAT3"
"Nervous System Development (GO:0007399)",-0.815892148081947,0.899778181084896,11,"TNBC signature","SOX4,ERBB3,STAT3"
"Organelle Organization (GO:0006996)",-1.17156584534222,0.667520594735785,26,"TNBC signature","CCL2,REEP5,CSNK1A1,CDC42,CHMP4A"
"Peptidyl-Serine Modification (GO:0018209)",-1.13407593802347,0.704704081367894,12,"TNBC signature","CSNK1A1,CAB39,MAPKAPK2,TLK2,IKBKB,CSNK2A2"
"Peptidyl-Serine Phosphorylation (GO:0018105)",-1.13407593802347,0.704704081367894,12,"TNBC signature","CSNK1A1,CAB39,MAPKAPK2,TLK2,IKBKB,CSNK2A2"
"Phosphorylation (GO:0016310)",-1.09613717943563,0.704704081367894,25,"TNBC signature","CCL2,CSNK1A1,ADAM10,TRIB1,STAT3,CHEK2"
"Positive Regulation Of Apoptotic Process (GO:0043065)",-1.2971307993695,0.56130198915009,29,"TNBC signature","GADD45B,PMAIP1,GADD45A,SOX4,TFAP2A,FOXO3,BCL2,SQSTM1"
"Positive Regulation Of Autophagy (GO:0010508)",-0.68543595956895,0.941526418786693,11,"TNBC signature","FOXO3,SQSTM1,ATF6,BNIP3L"
