"Cell line Name","Drug name Name","GRmax","GR50","GR_AOC"
"HCC1806","QL-XII-47",-0.632333333333333,0.974333333333333,0.339333333333333
"HCC70","QL-XII-47",-0.768333333333333,0.721666666666667,0.421333333333333
"HCC1806","Torin2",-0.487,0.0674,0.680333333333333
"HCC70","Torin2",-0.947,0.0148,1.07
