"","mean_rank_correlation","min_rank_correlation","mean_top10_jaccard","QL_rank_min","QL_rank_max"
"retriever",0.842509728492685,0.8388934897016,0.501831501831502,1,3
"naive_average",0.849088593843222,0.815879037213154,0.558441558441558,1,1
"PRL",0.82962448463477,0.818464990783533,0.544566544566545,2,10
"metaLINCS",0.865719196074765,0.848510672401357,0.623931623931624,5,11
