"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DMAC2",3.58779341066619e-72,-0.112996400252974,0.106,0.226,1.9942749673188e-67
"ATP5PD",3.85995512394852e-72,0.555256324968558,0.607,0.603,2.14555605564678e-67
"PDE4B",4.51058087729216e-72,-0.304023900502336,0.101,0.211,2.50720638064285e-67
"CHEK2",5.6994587225794e-72,-0.156165012244534,0.067,0.168,3.16804413094576e-67
"MRPL3",5.72226436921443e-72,0.591689561594973,0.436,0.359,3.18072064962784e-67
"TMEM170A",6.64240804442579e-72,-0.142786413609578,0.095,0.208,3.69218251149408e-67
"TBK1",6.99638756302922e-72,-0.133032236717986,0.065,0.166,3.88894202690979e-67
"SESN2",7.35183900574781e-72,-0.162404784292835,0.049,0.142,4.08651971134492e-67
"NFE2L1.1",7.67749958081475e-72,-0.148002123053623,0.105,0.222,4.26753814199588e-67
"LMAN2",9.25245149022406e-72,-0.0689483833442504,0.384,0.594,5.14297516084105e-67
"SLC39A8",1.18982441571246e-71,-0.271226283841984,0.041,0.127,6.61363901473771e-67
"DDX24",1.46167627438683e-71,-0.0968055223424014,0.329,0.52,8.12472757117922e-67
"BABAM1",1.72742977831626e-71,-0.127862173645054,0.158,0.296,9.60191842277094e-67
"TNFRSF10A",1.79450703469228e-71,-0.133747980747358,0.035,0.119,9.97476735233701e-67
"TSR3",1.87415280272518e-71,-0.124066906183179,0.101,0.216,1.04174783539479e-66
"TMEM258",2.29281983631367e-71,-0.138767805510144,0.661,0.864,1.27446390601495e-66
"RNF181",3.23512910927813e-71,-0.190203815214755,0.46,0.636,1.79824651539225e-66
"NDUFS4",3.24123783152991e-71,-0.096876646973188,0.305,0.487,1.8016420486559e-66
"TRIM8",3.47332205897083e-71,-0.171776320452212,0.064,0.161,1.93064606647893e-66
"CLTB",3.80857120630259e-71,-0.114910356582865,0.371,0.565,2.11699430502329e-66
"SBDS",3.83793829465373e-71,-0.216357389792504,0.411,0.577,2.13331800108328e-66
"PLK3",4.38864815154272e-71,-0.151039351706802,0.086,0.195,2.43943007503502e-66
"MRPS18C",4.47882744447884e-71,-0.128446988174386,0.265,0.429,2.48955623501356e-66
"TMBIM1",4.57973722058349e-71,-0.126458940267941,0.191,0.337,2.54564693406133e-66
"CLINT1",6.43071505818417e-71,-0.105131867294906,0.176,0.32,3.57451296509167e-66
"ZNF267",8.1311565786264e-71,-0.122771866392364,0.049,0.14,4.51970338422949e-66
"SNRPD2.1",9.76771481040511e-71,0.431729670223126,0.801,0.861,5.42938427736368e-66
"PCBD1",1.07133274500514e-70,0.584833815280973,0.524,0.484,5.9550030631111e-66
"SLC16A3",1.15140250665407e-70,-0.0926719536765896,0.065,0.166,6.40007083323663e-66
"ISYNA1",1.29489778093321e-70,0.413132919421779,0.201,0.111,7.19768931531723e-66
"TMEM120A",1.33291645552342e-70,0.419716769452498,0.245,0.15,7.40901611802694e-66
