"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SUB1",3.4380789231677e-56,0.522614333394242,0.784,0.825,1.91105616944276e-51
"C5orf46",4.27246095074649e-56,-0.236365339878149,0.053,0.177,2.37484741947244e-51
"MEIS2",4.30286699706221e-56,-0.207176135583459,0.047,0.166,2.39174862031703e-51
"PELO",4.53564461680909e-56,-0.195405729796706,0.08,0.217,2.52113806025333e-51
"DNAJC4",4.57231863613713e-56,0.605176683840871,0.369,0.254,2.54152331389682e-51
"SPDEF",5.33277986641659e-56,0.598534005267652,0.175,0.074,2.96422568874766e-51
"ATP6V1E1",5.88177749078979e-56,-0.164378310615445,0.241,0.434,3.2693860182555e-51
"LRRCC1",6.16145301017888e-56,0.325785472884039,0.118,0.035,3.42484365570793e-51
"MRPS36",7.59863207293764e-56,-0.157888993223946,0.232,0.434,4.22369963774239e-51
"TAF1D",8.36119979639076e-56,-0.343007844689301,0.364,0.583,4.64757290682381e-51
"CLDN1",8.49404003207856e-56,-0.456227224991187,0.085,0.221,4.72141215183087e-51
"BPGM",9.43090170545022e-56,-0.278067177777521,0.076,0.208,5.2421667129745e-51
"VEGFA",1.091162670074e-55,-0.338385882181876,0.144,0.304,6.06522770160633e-51
"YWHAQ",1.12855885836034e-55,0.602597697736973,0.737,0.738,6.27309441419593e-51
"NTRK2",1.31707805273113e-55,-0.255664012141566,0.136,0.298,7.32097835610598e-51
"CXCL14",1.40642113650351e-55,2.43891956050328,0.119,0.037,7.81759188725476e-51
"NIPSNAP1",1.43538201270039e-55,0.550601414144817,0.235,0.123,7.97857091759511e-51
"RPS7",1.59437780439623e-55,0.390679884608845,0.985,0.999,8.86234902573642e-51
"ECHDC1",1.94949444387268e-55,-0.175503362844008,0.168,0.345,1.08362648662663e-50
"DEDD2",2.16318828598649e-55,-0.227874381389023,0.089,0.227,1.20240820876559e-50
"LHFPL2",2.31528900383379e-55,-0.18004990428924,0.038,0.149,1.28695339278101e-50
"KLF4",3.51668330421356e-55,-0.386735075408768,0.121,0.274,1.95474841464711e-50
"RHEBP1",3.59051670240934e-55,-0.301122206361155,0.515,0.734,1.99578870903423e-50
"IL32",4.06449209586914e-55,-0.136018864648149,0.224,0.426,2.25924793148886e-50
"SGMS2",4.4114216973907e-55,-0.190192102037354,0.018,0.115,2.45208875049462e-50
"TMEM38B",4.87425945967931e-55,-0.179248628708521,0.041,0.154,2.70935712066274e-50
"CLDN3",5.04892239914908e-55,-0.0970105854491214,0.37,0.62,2.80644351556702e-50
"NDUFAF6",5.78498529233214e-55,0.454422160974934,0.211,0.102,3.21558407474282e-50
"IRS2",6.74974794706148e-55,-0.178012955893698,0.101,0.246,3.75184739637412e-50
"RTL8A",6.92267974692624e-55,0.638786525469393,0.376,0.263,3.84797153732895e-50
"MED31",7.55890286582062e-55,-0.153338793442934,0.101,0.25,4.20161615796639e-50
"DAAM1",8.31825174334306e-55,-0.208585388212027,0.161,0.329,4.62370023153724e-50
"HIF1A",8.90067884681721e-55,-0.120257226505269,0.128,0.292,4.94744233700334e-50
"CNTN1",1.07402524418697e-54,-0.31667468662131,0.055,0.178,5.96996931981328e-50
