"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBM47",5.51401640816289e-90,-0.434554672202605,0.171,0.365,1.45685827520072e-85
"SNHG32",5.63977617455517e-90,0.00891294966188116,0.527,0.685,1.49008526307922e-85
"DMAC2",6.29407366565601e-90,-0.239444056304177,0.132,0.322,1.66295720320297e-85
"HPRT1",7.27150635691725e-90,0.44849156448007,0.392,0.28,1.92120469456111e-85
"DLEU1",7.54222097958875e-90,0.219384630255426,0.177,0.056,1.99273020501714e-85
"NIT2",1.0032741273003e-89,-0.0294932763020735,0.166,0.326,2.65075057174012e-85
"EFNA3",1.04334552724246e-89,0.216684085487728,0.218,0.074,2.7566232175273e-85
"MAFG",1.22168166267678e-89,-0.33143364111984,0.111,0.268,3.22780512095832e-85
"MARK3",1.23174467378556e-89,-0.275613825756496,0.147,0.335,3.25439260260883e-85
"DNAJB1",1.33665060224654e-89,-0.33780972948835,0.42,0.628,3.53156455619558e-85
"DPYSL2",1.43964430533771e-89,-0.179959838134602,0.011,0.12,3.80368421913276e-85
"TIPIN",1.46352188360582e-89,-0.0803949758793414,0.062,0.188,3.86677116867493e-85
"PLA2R1",1.53331148546738e-89,0.111471387003369,0.177,0.062,4.05116227575337e-85
"GDF15.1",1.68683777076523e-89,-0.702663551129062,0.006,0.111,4.45679407413882e-85
"ANKLE2",1.83683120016406e-89,-0.294693506548603,0.158,0.35,4.85309171395346e-85
"SELENOF",1.8378312867548e-89,-0.37405383081431,0.487,0.671,4.85573404273487e-85
"ZNF207",2.18655251216309e-89,-0.321326196774442,0.342,0.554,5.77709039238611e-85
"IDH3G",2.58451917043853e-89,0.416545309540129,0.452,0.331,6.82855810021564e-85
"ST3GAL4",3.00981361555051e-89,0.372284144586312,0.339,0.163,7.95222855364601e-85
"IGF2BP2",3.23159564345835e-89,-0.17970499085965,0.037,0.177,8.5381988495813e-85
"ZFAND5",3.4081328062266e-89,-0.464884698434908,0.425,0.628,9.00462768733129e-85
"GBE1",3.41914079972813e-89,-0.166482104629331,0.077,0.237,9.0337119069617e-85
